mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_min_child_weight,param_max_depth,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
5.9053651094436646,0.5954472616534972,0.01924574375152588,0.015363231779150931,1.0,5,3,5,1.0,"{'subsample': 1.0, 'min_child_weight': 5, 'max_depth': 3, 'gamma': 5, 'colsample_bytree': 1.0}",0.8448769937821032,0.8642008933435015,0.8488942150561063,0.8407778625122563,0.8754221592766096,0.8590260376947381,0.9045102952391327,0.8662708356030069,0.8817409303845736,0.8737879943348948,0.8659430482708514,0.018186629519544854,6,0.9058895842496091,0.9054011104458918,0.9039443473493026,0.9077444966540812,0.9069495931747156,0.9051104969591415,0.9023044809575932,0.9050637972196521,0.9047416026141104,0.90463409242248,0.9051783602046578,0.0014340315263793528
7.4070112943649296,0.07782866332008614,0.020845365524291993,0.0009408582513523433,0.6,1,5,1.5,0.8,"{'subsample': 0.6, 'min_child_weight': 1, 'max_depth': 5, 'gamma': 1.5, 'colsample_bytree': 0.8}",0.8482833198161666,0.8686131386861313,0.8714456912517704,0.8400697243708466,0.8515633511275739,0.8413770563242183,0.8873515633511275,0.8794530994661728,0.8804880705959254,0.8694846933217126,0.8638072424464301,0.016274071238683258,10,0.9894902346876054,0.9898412947989929,0.9888575765455767,0.9895197721321489,0.9900710978336025,0.9904158023855167,0.9904890437035648,0.9898947139254591,0.9899572042243442,0.9904695574813318,0.9899006297718141,0.00048708981515215217
7.047636795043945,0.06416983133893629,0.01975102424621582,0.0010724969315440743,0.8,5,5,1,0.8,"{'subsample': 0.8, 'min_child_weight': 5, 'max_depth': 5, 'gamma': 1, 'colsample_bytree': 0.8}",0.8502297918356312,0.8703562479572939,0.8704107201220177,0.8425754439481424,0.8544503758579367,0.8421396666303519,0.8940516396121582,0.8758034644296765,0.8880597014925372,0.8661074191088354,0.865412844497,0.017042862001949998,8,0.9821035401527103,0.9814817054610474,0.9805376315907947,0.9811454001428542,0.9821455808943639,0.9812008350854134,0.9811813488631805,0.9820155607563611,0.9818059158826822,0.9828484287721464,0.9816465947601554,0.0006314308862714676
5.4648418664932255,0.04935960622306658,0.012367177009582519,0.000662221198539,1.0,5,5,5,0.6,"{'subsample': 1.0, 'min_child_weight': 5, 'max_depth': 5, 'gamma': 5, 'colsample_bytree': 0.6}",0.8494728304947283,0.8665976685913498,0.8555942913171369,0.8435014707484475,0.8667066129207975,0.8566292624468896,0.8994443839198168,0.8742237716526855,0.8852271489268982,0.8701928314631223,0.8667526509306833,0.015950234167152647,4,0.9369239232332525,0.9355889643476045,0.9353846949835072,0.9391458718438199,0.9410706402433493,0.9412077157376779,0.9370497590763798,0.9377549587396043,0.9394146473228955,0.9357307434128171,0.9379271918940908,0.0020713013742726266
6.973462867736816,0.06266419986783903,0.016559267044067384,0.0009107135791351289,0.8,1,4,1,1.0,"{'subsample': 0.8, 'min_child_weight': 1, 'max_depth': 4, 'gamma': 1, 'colsample_bytree': 1.0}",0.8542308732089754,0.8648000871554635,0.8681773613683408,0.8512365181392308,0.8607691469659003,0.8487852707266587,0.895032138577187,0.877818934524458,0.8872426190216799,0.8676326397211026,0.8675676376256168,0.014484411720991639,3,0.9752440823726731,0.9743410129207092,0.9743799853651752,0.9755642773198515,0.9744921991276891,0.9761203065921891,0.9731207722457065,0.9747720615952765,0.9745247881545271,0.9749363506068613,0.9747495836300658,0.0007678452078192187
4.67855167388916,0.03822370404644045,0.015624189376831054,0.0007718030489705234,1.0,10,4,1.5,0.6,"{'subsample': 1.0, 'min_child_weight': 10, 'max_depth': 4, 'gamma': 1.5, 'colsample_bytree': 0.6}",0.8495809678291429,0.8717180520753894,0.8607146748011767,0.8426843882775902,0.8659984747793877,0.8438827759015143,0.9014598540145985,0.8715001634164942,0.8857718705741366,0.8691578603333696,0.8662407606752445,0.01746667077226591,5,0.9524289877995801,0.9531561296599789,0.9489336668837027,0.9514732591916173,0.9524499220887079,0.9521079052915844,0.9503628804936868,0.9535999451698022,0.9533304977520292,0.9531608332308628,0.952100402756155,0.0014025523223026818
5.604684615135193,0.0521425402164011,0.012133574485778809,0.0013784616101546702,1.0,1,5,5,0.6,"{'subsample': 1.0, 'min_child_weight': 1, 'max_depth': 5, 'gamma': 5, 'colsample_bytree': 0.6}",0.8531494998648284,0.8674147510622072,0.8584268438827759,0.8475868831027346,0.868122889203617,0.856193485129099,0.897265497330864,0.8734611613465518,0.8845734829502124,0.8729709118640375,0.8679110934911738,0.014332794639972642,1,0.9373590280551825,0.9393289751389402,0.938597233897157,0.9437701539613139,0.9414452460673107,0.9449450387742226,0.9388384598896273,0.9425109408418452,0.9421447342516048,0.943426457317446,0.9412366268194651,0.0024259225188317047
5.170174384117127,0.2409572900147528,0.011193418502807617,0.003030008335004902,0.8,1,3,2,0.8,"{'subsample': 0.8, 'min_child_weight': 1, 'max_depth': 3, 'gamma': 2, 'colsample_bytree': 0.8}",0.8517977831846446,0.8648545593201874,0.854668264516832,0.8470421614554963,0.8659984747793877,0.8569016232705088,0.9011330210262556,0.8788539056542107,0.8872970911864037,0.8689399716744742,0.86774280183612,0.016139278939306976,2,0.9418472654300812,0.9407649081359009,0.9394122955374536,0.9411973006878638,0.9406217851932932,0.9415893769179651,0.9389076695754892,0.9394616830317337,0.9391687177595412,0.9405149469403608,0.9403485949209683,0.0009956466517811885
5.993079662322998,0.028976148178895537,0.017672252655029298,0.00423375051820984,0.8,1,5,0.5,0.6,"{'subsample': 0.8, 'min_child_weight': 1, 'max_depth': 5, 'gamma': 0.5, 'colsample_bytree': 0.6}",0.8483914571505812,0.8702473036278462,0.8695391654864365,0.8418673058067327,0.8537967098812507,0.84524458001961,0.8899117550931473,0.8730253840287613,0.8844100664560409,0.8663253077677308,0.8642700442745724,0.015598695235731715,9,0.9921640782300986,0.9918282175280586,0.9908330763167814,0.991704244838335,0.9923442664478834,0.9916037900030304,0.9915419716428431,0.9919454708308052,0.9920429019419701,0.9922192858501133,0.991822730362992,0.00041587974885671787
5.163224291801453,0.17796359649310228,0.016675305366516114,0.0018092533711626128,0.8,1,4,1.5,0.6,"{'subsample': 0.8, 'min_child_weight': 1, 'max_depth': 4, 'gamma': 1.5, 'colsample_bytree': 0.6}",0.8520140578534738,0.8691033881686459,0.8606602026364527,0.8485673820677634,0.8599520644950431,0.8494934088680683,0.8944874169299488,0.875313214947162,0.8834840396557359,0.8652903366379779,0.865831452556395,0.01432074466244954,7,0.9703476400102756,0.9696387859142834,0.9683177544346273,0.9697990432936822,0.9700735302516881,0.9694667696076752,0.9690380727185498,0.9698628774699628,0.9699482136845692,0.9714160637696702,0.9697908751154983,0.0007698114843134657
